KRAS_1uMGDP_G12D_GDP_D_4002 - 1_X	KRAS_1uMGDP_G12D_GDP_D_4002 - 1_Y	KRAS_1uMGDP__G12D_GDP_D_400 - 1_X	KRAS_1uMGDP__G12D_GDP_D_400 - 1_Y
7211.05	-24.968	2260.54	-10.708
7211.54	-25.08	2261.02	-10.693
7212.02	-25.208	2261.66	-10.678
7212.66	-25.396	2262.14	-10.676
7213.15	-25.55	2262.62	-10.672
7213.62	-25.699	2263.1	-10.654
7214.1	-25.84	2263.58	-10.648
7214.58	-25.972	2264.06	-10.638
7215.05	-26.091	2264.7	-10.617
7215.69	-26.225	2265.18	-10.602
7216.18	-26.251	2265.66	-10.588
7216.66	-26.215	2266.14	-10.573
7217.15	-26.151	2266.62	-10.558
7217.62	-26.042	2267.26	-10.549
7218.1	-25.926	2267.74	-10.531
7218.74	-25.771	2268.22	-10.515
7219.22	-25.644	2268.7	-10.504
7219.69	-25.521	2269.18	-10.497
7220.18	-25.407	2269.66	-10.489
7220.66	-25.3	2270.3	-10.483
7221.15	-25.202	2270.78	-10.488
7221.79	-25.096	2271.26	-10.486
7222.25	-25.021	2271.74	-10.487
7222.74	-24.952	2272.22	-10.488
7223.22	-24.889	2272.7	-10.495
7223.69	-24.834	2273.18	-10.49
7224.33	-24.768	2273.82	-10.477
7224.82	-24.726	2274.3	-10.464
7225.3	-24.689	2274.78	-10.446
7225.79	-24.655	2275.26	-10.423
7226.25	-24.624	2275.74	-10.406
7226.74	-24.601	2276.38	-10.376
7227.38	-24.564	2276.86	-10.354
7227.86	-24.543	2277.34	-10.332
7228.35	-24.517	2277.82	-10.31
7228.81	-24.494	2278.3	-10.294
7229.3	-24.467	2278.78	-10.275
7229.94	-24.44	2279.26	-10.262
7230.42	-24.427	2279.9	-10.241
7230.89	-24.415	2280.38	-10.221
7231.38	-24.396	2280.86	-10.203
7231.86	-24.382	2281.34	-10.181
7232.5	-24.371	2281.82	-10.163
7232.99	-24.364	2282.3	-10.131
7233.46	-24.359	2282.94	-10.081
7233.94	-24.356	2283.42	-10.054
7234.42	-24.347	2283.9	-10.03
7234.89	-24.334	2284.38	-10.013
7235.53	-24.329	2284.86	-10.006
7236.02	-24.315	2285.5	-10
7236.5	-24.308	2285.98	-10.002
7236.98	-24.294	2286.46	-10.008
7237.45	-24.285	2286.94	-10.01
7237.94	-24.274	2287.42	-10.014
7238.58	-24.258	2287.9	-10.017
7239.06	-24.245	2288.38	-10.027
7239.55	-24.231	2289.02	-10.034
7240.02	-24.209	2289.5	-10.048
7240.5	-24.191	2289.98	-10.06
7241.14	-24.157	2290.46	-10.081
7241.63	-24.136	2290.94	-10.102
7242.09	-24.117	2291.42	-10.119
7242.58	-24.094	2292.06	-10.137
7243.22	-24.06	2292.54	-10.15
7243.7	-24.029	2293.02	-10.16
7244.19	-23.99	2293.5	-10.171
7244.65	-23.954	2293.98	-10.181
7245.14	-23.916	2294.46	-10.187
7245.62	-23.885	2295.1	-10.201
7246.09	-23.85	2295.58	-10.211
7246.73	-23.809	2296.06	-10.217
7247.22	-23.78	2296.54	-10.23
7247.7	-23.749	2297.02	-10.239
7248.19	-23.723	2297.5	-10.243
7248.65	-23.698	2298.14	-10.247
7249.29	-23.662	2298.62	-10.251
7249.78	-23.633	2299.1	-10.251
7250.26	-23.598	2299.58	-10.256
7250.75	-23.569	2300.06	-10.26
7251.37	-23.553	2300.54	-10.264
7251.86	-23.563	2301.18	-10.265
7252.34	-23.57	2301.66	-10.272
7252.83	-23.581	2302.14	-10.281
7253.29	-23.594	2302.62	-10.29
7253.93	-23.606	2303.1	-10.301
7254.42	-23.621	2303.58	-10.307
7254.9	-23.636	2304.06	-10.314
7255.39	-23.654	2304.7	-10.333
7255.86	-23.673	2305.18	-10.341
7256.34	-23.688	2305.66	-10.347
7256.98	-23.712	2306.14	-10.357
7257.46	-23.73	2306.62	-10.364
7257.93	-23.742	2307.1	-10.375
7258.42	-23.754	2307.58	-10.389
7259.06	-23.776	2308.22	-10.404
7259.54	-23.799	2308.7	-10.42
7260.03	-23.811	2309.18	-10.432
7260.5	-23.823	2309.66	-10.438
7260.98	-23.831	2310.14	-10.452
7261.62	-23.841	2310.62	-10.467
7262.1	-23.843	2311.26	-10.478
7262.57	-23.852	2311.74	-10.481
7263.06	-23.858	2312.22	-10.478
7263.54	-23.857	2312.7	-10.48
7264.03	-23.86	2313.18	-10.478
7264.67	-23.867	2313.82	-10.482
7265.13	-23.867	2314.3	-10.491
7265.62	-23.865	2314.78	-10.497
7266.1	-23.865	2315.26	-10.498
7266.59	-23.866	2315.74	-10.497
7267.06	-23.864	2316.22	-10.499
7267.7	-23.868	2316.7	-10.492
7268.18	-23.876	2317.34	-10.491
7268.67	-23.886	2317.82	-10.495
7269.13	-23.891	2318.3	-10.485
7269.62	-23.891	2318.78	-10.477
7270.1	-23.892	2319.26	-10.472
7270.74	-23.899	2319.9	-10.474
7271.23	-23.897	2320.38	-10.479
7271.7	-23.897	2320.86	-10.486
7272.18	-23.898	2321.34	-10.5
7272.66	-23.898	2321.82	-10.511
7273.31	-23.897	2322.3	-10.516
7273.77	-23.896	2322.94	-10.528
7274.26	-23.894	2323.42	-10.533
7274.74	-23.89	2323.9	-10.535
7275.23	-23.884	2324.38	-10.538
7275.69	-23.881	2324.86	-10.531
7276.33	-23.875	2325.34	-10.526
7276.82	-23.877	2325.98	-10.53
7277.3	-23.87	2326.46	-10.528
7277.79	-23.867	2326.94	-10.524
7278.26	-23.862	2327.42	-10.527
7278.74	-23.862	2327.9	-10.524
7279.38	-23.866	2328.38	-10.524
7279.87	-23.871	2329.02	-10.524
7280.33	-23.875	2329.5	-10.52
7280.82	-23.882	2329.98	-10.581
7281.46	-23.876	2330.46	-10.706
7281.94	-23.874	2330.94	-10.845
7282.43	-23.873	2331.42	-11.01
7282.9	-23.87	2332.06	-11.246
7283.38	-23.867	2332.54	-11.449
7283.87	-23.863	2333.02	-11.64
7284.5	-23.856	2333.5	-11.842
7284.97	-23.854	2333.98	-12.05
7285.46	-23.848	2334.46	-12.241
7285.94	-23.843	2335.1	-12.49
7286.58	-23.843	2335.58	-12.67
7287.07	-23.839	2336.06	-12.835
7287.54	-23.836	2336.54	-12.994
7288.02	-23.834	2337.02	-13.133
7288.5	-23.83	2337.5	-13.268
7288.52	-23.827	2337.98	-13.397
7289.01	-23.826	2338.62	-13.551
7289.49	-23.826	2339.1	-13.67
7289.98	-23.823	2339.58	-13.79
7290.62	-23.822	2340.06	-13.904
7291.08	-23.824	2340.54	-14.01
7291.57	-23.824	2341.02	-14.118
7292.05	-23.822	2341.66	-14.235
7292.54	-23.826	2342.14	-14.323
7293.01	-23.832	2342.62	-14.415
7293.65	-23.836	2343.1	-14.491
7294.13	-23.836	2343.58	-14.557
7294.62	-23.833	2344.06	-14.618
7295.08	-23.826	2344.7	-14.676
7295.57	-23.825	2345.18	-14.712
7296.05	-23.825	2345.66	-14.741
7296.69	-23.825	2346.14	-14.775
7297.18	-23.817	2346.62	-14.8
7297.65	-23.815	2347.1	-14.818
7298.13	-23.813	2347.74	-14.845
7298.77	-23.815	2348.22	-14.862
7299.25	-23.817	2348.7	-14.883
7299.72	-23.819	2349.18	-14.89
7300.21	-23.817	2349.66	-14.893
7300.69	-23.894	2350.14	-14.894
7301.33	-24.062	2350.78	-14.891
7301.82	-24.226	2351.26	-14.88
7302.29	-24.414	2351.74	-14.874
7302.77	-24.606	2352.22	-14.866
7303.41	-24.855	2352.7	-14.858
7303.89	-25.057	2353.18	-14.845
7304.36	-25.257	2353.82	-14.829
7304.85	-25.452	2354.3	-14.811
7305.33	-25.643	2354.78	-14.791
7305.97	-25.875	2355.26	-14.771
7306.46	-26.058	2355.74	-14.757
7306.92	-26.235	2356.22	-14.742
7307.41	-26.399	2356.7	-14.722
7307.89	-26.558	2357.34	-14.699
7308.53	-26.753	2357.82	-14.684
7309.02	-26.876	2358.3	-14.665
7309.49	-26.991	2358.78	-14.645
7309.97	-27.1	2359.26	-14.63
7310.46	-27.205	2359.9	-14.623
7311.1	-27.332	2360.38	-14.617
7311.56	-27.436	2360.86	-14.613
7312.05	-27.537	2361.34	-14.605
7312.53	-27.641	2361.82	-14.59
7313.02	-27.742	2362.3	-14.575
7313.48	-27.839	2362.78	-14.565
7314.13	-27.963	2363.42	-14.557
7314.61	-28.048	2363.9	-14.542
7315.09	-28.125	2364.38	-14.535
7315.56	-28.19	2364.86	-14.522
7316.05	-28.245	2365.34	-14.509
7316.53	-28.292	2365.82	-14.507
7317.17	-28.344	2366.46	-14.511
7317.66	-28.383	2366.94	-14.504
7318.13	-28.41	2367.42	-14.502
7318.61	-28.434	2367.9	-14.505
7319.09	-28.454	2368.38	-14.508
7319.73	-28.468	2368.86	-14.504
7320.22	-28.476	2369.5	-14.496
7320.69	-28.478	2369.98	-14.485
7321.17	-28.476	2370.46	-14.473
7321.65	-28.477	2370.94	-14.461
7322.3	-28.479	2371.42	-14.451
7322.76	-28.479	2372.06	-14.435
7323.25	-28.473	2372.54	-14.426
7323.73	-28.474	2373.02	-14.415
7324.22	-28.469	2373.5	-14.413
7324.86	-28.459	2373.98	-14.412
7325.33	-28.45	2374.46	-14.409
7325.81	-28.442	2374.94	-14.41
7326.29	-28.429	2375.58	-14.41
7326.76	-28.416	2376.06	-14.413
7327.4	-28.392	2376.54	-14.415
7327.89	-28.376	2377.02	-14.414
7328.37	-28.362	2377.5	-14.413
7328.86	-28.351	2377.98	-14.412
7329.33	-28.335	2378.62	-14.414
7329.97	-28.319	2379.1	-14.414
7330.45	-28.303	2379.58	-14.414
7330.93	-28.29	2380.06	-14.417
7331.42	-28.284	2380.54	-14.416
7332.04	-28.273	2381.02	-14.413
7332.53	-28.264	2381.5	-14.409
7333.01	-28.252	2382.14	-14.407
7333.5	-28.243	2382.62	-14.399
7333.96	-28.237	2383.1	-14.388
7334.45	-28.225	2383.58	-14.383
7334.93	-28.213	2384.06	-14.38
7335.57	-28.194	2384.54	-14.37
7336.06	-28.18	2385.18	-14.366
7336.53	-28.171	2385.66	-14.356
7337.01	-28.166	2386.14	-14.354
7337.5	-28.157	2386.62	-14.351
7338.14	-28.146	2387.1	-14.342
7338.6	-28.138	2387.58	-14.347
7339.09	-28.133	2388.22	-14.343
7339.57	-28.125	2388.7	-14.34
7340.06	-28.124	2389.18	-14.336
7340.7	-28.122	2389.66	-14.334
7341.17	-28.114	2390.14	-14.333
7341.65	-28.105	2390.62	-14.329
7342.13	-28.098	2391.26	-14.326
7342.6	-28.091	2391.74	-14.325
7343.24	-28.084	2392.22	-14.326
7343.73	-28.077	2392.7	-14.318
7344.21	-28.074	2393.18	-14.317
7344.7	-28.066	2393.66	-14.314
7345.17	-28.062	2394.3	-14.313
7345.81	-28.054	2394.78	-14.316
7346.29	-28.053	2395.26	-14.316
7346.77	-28.047	2395.74	-14.32
7347.26	-28.046	2396.22	-14.385
7347.9	-28.044	2396.7	-14.527
7348.37	-28.041	2397.34	-14.689
7348.85	-28.041	2397.82	-14.785
7349.34	-28.039	2398.3	-14.844
7349.81	-28.03	2398.78	-14.876
7350.45	-28.023	2399.26	-14.879
7350.93	-28.016	2399.74	-14.88
7351.41	-28.008	2400.22	-14.862
7351.9	-27.998	2400.86	-14.803
7352.37	-27.982	2401.34	-14.749
7353.01	-27.968	2401.82	-14.699
7353.49	-27.956	2402.3	-14.655
7353.98	-27.952	2402.78	-14.614
7354.44	-27.954	2403.26	-14.58
7354.93	-27.951	2403.9	-14.543
7355.41	-27.947	2404.38	-14.511
7356.05	-27.942	2404.86	-14.485
7356.54	-27.937	2405.34	-14.461
7357.01	-27.932	2405.82	-14.437
7357.49	-27.927	2406.46	-14.409
7357.98	-27.923	2406.94	-14.393
7358.62	-27.923	2407.42	-14.38
7359.08	-27.925	2407.9	-14.366
7359.57	-27.928	2408.38	-14.352
7360.05	-27.927	2408.86	-14.343
7360.54	-27.93	2409.5	-14.327
7361.01	-27.937	2409.98	-14.322
7361.65	-27.936	2410.46	-14.314
7362.13	-27.932	2410.94	-14.301
7362.62	-27.934	2411.42	-14.295
7363.1	-27.927	2411.9	-14.288
7363.57	-27.923	2412.54	-14.278
7364.05	-27.925	2413.02	-14.276
7364.69	-27.92	2413.5	-14.278
7365.18	-27.912	2413.98	-14.281
7365.65	-27.906	2414.46	-14.279
7366.13	-27.9	2414.94	-14.274
7366.61	-27.9	2415.58	-14.265
7367.25	-27.903	2416.06	-14.255
7367.74	-27.912	2416.54	-14.251
7368.21	-27.933	2417.02	-14.245
7368.69	-28.082	2417.5	-14.234
7369.18	-28.28	2417.98	-14.227
7369.82	-28.342	2418.62	-14.213
7370.29	-28.474	2419.1	-14.199
7370.77	-33.141	2419.58	-14.192
7371.25	-32.013	2420.06	-14.183
7371.74	-29.737	2420.54	-14.179
7372.38	-28.609	2421.02	-14.173
7372.85	-28.144	2421.66	-14.172
7373.33	-28.109	2422.14	-14.171
7373.81	-28.216	2422.62	-14.171
7374.3	-28.147	2423.1	-14.169
7374.77	-28.084	2423.58	-14.169
7375.41	-28.004	2424.22	-14.163
7375.89	-27.946	2424.7	-14.163
7376.38	-27.901	2425.18	-14.167
7376.85	-27.86	2425.66	-14.166
7377.33	-27.817	2426.14	-14.171
7377.81	-27.777	2426.62	-14.172
7378.46	-27.726	2427.26	-14.163
7378.94	-27.685	2427.74	-14.159
7379.41	-27.655	2428.22	-14.156
7379.89	-27.628	2428.7	-14.142
7380.38	-27.605	2429.18	-14.128
7380.85	-27.58	2429.82	-14.114
7381.48	-27.559	2430.3	-14.1
7381.97	-27.545	2430.78	-14.093
7382.45	-27.533	2431.26	-14.092
7382.94	-27.519	2431.74	-14.088
7383.41	-27.506	2432.22	-14.081
7384.05	-27.489	2432.7	-14.08
7384.53	-27.481	2433.34	-14.073
7385.02	-27.47	2433.82	-14.068
7385.5	-27.46	2434.3	-14.06
7385.97	-27.449	2434.78	-14.057
7386.45	-27.441	2435.26	-14.055
7387.09	-27.426	2435.74	-14.05
7387.58	-27.411	2436.38	-14.051
7388.05	-27.396	2436.86	-14.046
7388.53	-27.383	2437.34	-14.045
7389.02	-27.371	2437.82	-14.034
7389.65	-27.357	2438.3	-14.037
7390.14	-27.35	2438.78	-14.036
7390.61	-27.341	2439.42	-14.032
7391.09	-27.333	2439.9	-14.021
7391.58	-27.325	2440.39	-14.011
7392.22	-27.318	2440.86	-14.011
7392.69	-27.307	2441.34	-14.002
7393.17	-27.299	2441.82	-13.995
7393.65	-27.294	2442.46	-13.983
7394.14	-27.285	2442.94	-13.971
7394.78	-27.266	2443.42	-13.962
7395.25	-27.26	2443.9	-13.951
7395.73	-27.247	2444.38	-13.94
7396.22	-27.234	2444.86	-13.931
7396.7	-27.223	2445.5	-13.923
7397.17	-27.212	2445.98	-13.911
7397.65	-27.208	2446.46	-13.905
7398.29	-27.204	2446.94	-13.895
7398.78	-27.201	2447.42	-13.892
7399.25	-27.2	2447.9	-13.888
7399.73	-27.196	2448.38	-13.885
7400.21	-27.192	2449.02	-13.877
7400.86	-27.184	2449.5	-13.88
7401.34	-27.177	2449.98	-13.871
7401.81	-27.167	2450.46	-13.867
