Column B vs. Column A_X	Column B vs. Column A_Y
109.928	0.749321
110.412	0.740417
110.88	0.723131
111.365	0.711215
112.005	0.711303
112.489	0.708425
112.974	0.717472
113.442	0.728124
113.927	0.744668
114.411	0.761025
115.051	0.764839
115.536	0.761635
116.004	0.907498
116.488	1.31834
116.973	1.32788
117.441	1.62502
118.082	76.4098
118.566	75.4198
119.05	-36.0349
119.535	-95.2966
120.003	-62.8924
120.488	-15.2618
121.128	-1.61756
121.612	-1.75775
122.081	-1.95289
122.565	-2.0018
123.049	-1.93392
123.534	-1.8611
124.174	-1.78698
124.643	-1.73622
125.127	-1.69186
125.611	-1.64505
126.096	-1.60965
126.736	-1.58666
127.205	-1.56722
127.689	-1.54236
128.173	-1.51531
128.642	-1.49899
129.282	-1.49222
129.767	-1.48069
130.251	-1.46906
130.735	-1.45656
131.204	-1.43596
131.844	-1.40722
132.328	-1.39733
132.813	-1.38312
133.281	-1.36186
133.766	-1.35632
134.406	-1.35068
134.89	-1.3448
135.375	-1.34675
135.843	-1.34809
136.328	-1.34743
136.968	-1.35807
137.452	-1.3622
137.921	-1.37098
138.405	-1.3739
138.889	-1.3802
139.53	-1.37137
140.014	-1.36741
140.483	-1.36653
140.967	-1.3469
141.451	-1.33169
142.092	-1.32244
142.576	-1.30256
143.045	-1.28507
143.529	-1.27529
144.013	-1.25959
144.654	-1.24374
145.122	-1.23922
145.607	-1.23888
146.091	-1.24016
146.731	-1.24061
147.216	-1.24357
147.684	-1.24405
148.169	-1.24335
148.653	-1.23914
149.293	-1.24439
149.762	-1.24021
150.246	-1.23352
150.73	-1.24409
151.215	-1.25107
151.855	-1.25237
152.324	-1.24322
152.808	-1.24805
153.292	-1.24389
153.777	-1.2348
154.401	-1.21522
154.886	-1.19122
155.37	-1.17267
155.854	-1.13795
156.323	-1.10922
156.807	-1.09094
157.448	-1.05544
157.932	-1.02826
158.416	-1.00798
158.885	-0.97958
159.369	-0.95358
159.853	-0.941693
160.494	-0.942274
160.962	-0.918216
161.447	-0.91229
161.931	-0.915848
162.415	-0.912169
163.056	-0.897472
163.524	-0.888216
164.009	-0.873777
164.493	-0.873754
164.977	-0.874135
165.602	-0.873217
166.086	-0.858214
166.57	-0.834611
167.055	-0.82262
167.523	-0.800679
168.164	-0.776217
168.648	-0.753639
169.132	-0.734679
169.617	-0.727332
170.085	-0.730032
170.726	-0.747217
171.21	-0.762264
171.694	-0.774977
172.163	-0.802935
172.647	-0.840258
173.288	-0.884009
173.772	-0.909815
174.256	-0.935937
174.725	-0.960059
175.209	-0.97467
175.693	-0.984509
176.334	-0.984347
176.802	-0.987216
177.287	-0.986512
177.771	-0.997917
178.255	-1.01634
178.896	-1.03118
179.364	-1.04122
179.849	-1.05368
180.333	-1.06471
180.973	-1.09315
181.458	-1.11884
181.926	-1.13187
182.41	-1.13745
182.895	-1.14051
183.363	-1.13669
184.004	-1.12622
184.488	-1.10624
184.972	-1.07379
185.457	-1.03931
185.925	-1.01605
186.41	-1.0044
187.05	-0.992852
187.534	-0.973981
188.003	-0.967653
188.487	-0.967216
188.971	-0.970516
189.612	-0.968282
190.096	-0.96754
190.565	-0.983052
191.049	-0.985249
191.533	-0.983614
192.174	-1.00258
192.642	-1.01922
193.127	-1.01951
193.611	-1.02122
194.095	-1.02376
194.736	-1.01908
195.204	-1.00921
195.689	-0.993622
196.173	-0.974002
196.813	-0.956091
197.298	-0.946041
197.766	-0.944922
198.25	-0.948245
198.735	-0.951617
199.375	-0.95648
199.844	-0.961215
200.328	-0.965459
200.812	-0.959817
201.453	-0.954447
201.937	-0.944266
202.406	-0.931729
202.89	-0.922893
203.374	-0.916013
203.843	-0.915215
204.483	-0.900216
204.968	-0.88934
205.452	-0.893122
205.936	-0.900634
206.405	-0.89586
207.045	-0.897216
207.53	-0.903666
208.014	-0.916278
208.498	-0.925309
208.967	-0.936703
209.607	-0.958215
210.091	-0.97831
210.576	-0.981341
211.044	-0.983538
211.529	-0.976146
212.013	-0.96231
212.653	-0.942811
213.138	-0.926966
213.606	-0.924653
214.091	-0.897327
214.575	-0.868907
215.215	-0.854154
215.684	-0.835216
216.168	-0.818728
216.652	-0.806713
217.137	-0.807745
