Scrubber 2.00 Method File
10:05:57   2021/05/20

RowCount: 1

Rows:	1
Cols:	 1
Grid:
 0u

Analytes: 1
 1	-1.00	39599	1
 1

Input data:
210519 15:10 Fc=12 - 1_X	210519 15:10 Fc=12 - 1_Y	210519 15:10 Fc=16 - 1_X	210519 15:10 Fc=16 - 1_Y
135.687	-2.542	135.687	-2.184
136.327	-2.357	136.327	-1.946
136.812	-2.258	136.812	-1.800
137.280	-2.190	137.280	-1.688
137.764	-2.146	137.764	-1.601
138.249	-2.121	138.249	-1.539
138.889	-2.118	138.889	-1.485
139.358	-2.138	139.358	-1.468
139.842	-2.178	139.842	-1.469
140.326	-2.229	140.326	-1.486
140.811	-2.289	140.811	-1.517
141.451	-2.371	141.451	-1.572
141.920	-2.450	141.920	-1.619
142.404	-2.524	142.404	-1.674
142.888	-2.600	142.888	-1.734
143.357	-2.683	143.357	-1.799
143.997	-2.793	143.997	-1.887
144.482	-2.883	144.482	-1.963
144.966	-2.967	144.966	-2.037
145.450	-3.050	145.450	-2.110
145.919	-3.130	145.919	-2.187
146.559	-3.237	146.559	-2.285
147.044	-3.323	147.044	-2.368
147.528	-3.398	147.528	-2.443
148.012	-3.469	148.012	-2.514
148.481	-3.535	148.481	-2.585
149.121	-3.618	149.121	-2.673
149.605	-3.683	149.605	-2.733
150.090	-3.737	150.090	-2.791
150.558	-3.794	150.558	-2.847
151.043	-3.853	151.043	-2.901
151.683	-3.946	151.683	-2.987
152.167	-4.016	152.167	-3.054
152.652	-4.087	152.652	-3.119
153.120	-4.158	153.120	-3.190
153.605	-4.239	153.605	-3.263
154.089	-4.314	154.089	-3.330
154.729	-4.417	154.729	-3.417
155.198	-4.504	155.198	-3.491
155.682	-4.581	155.682	-3.556
156.166	-4.658	156.166	-3.620
156.651	-4.734	156.651	-3.682
157.119	-4.799	157.119	-3.743
157.760	-4.872	157.760	-3.814
158.244	-4.925	158.244	-3.873
158.728	-4.971	158.728	-3.922
159.213	-5.007	159.213	-3.973
159.681	-5.047	159.681	-4.025
160.322	-5.093	160.322	-4.097
160.806	-5.131	160.806	-4.147
161.290	-5.160	161.290	-4.192
161.759	-5.190	161.759	-4.230
162.399	-5.242	162.399	-4.289
162.884	-5.281	162.884	-4.343
163.368	-5.316	163.368	-4.386
163.852	-5.361	163.852	-4.431
164.321	-5.395	164.321	-4.476
164.805	-5.431	164.805	-4.521
165.289	-5.476	165.289	-4.568
165.930	-5.530	165.930	-4.627
166.398	-5.572	166.398	-4.678
166.883	-5.607	166.883	-4.724
167.367	-5.638	167.367	-4.768
167.851	-5.670	167.851	-4.815
168.492	-5.724	168.492	-4.877
168.960	-5.764	168.960	-4.924
169.445	-5.806	169.445	-4.968
169.929	-5.840	169.929	-5.013
170.413	-5.868	170.413	-5.054
171.038	-5.908	171.038	-5.103
171.522	-5.941	171.522	-5.145
172.006	-5.974	172.006	-5.184
172.491	-6.008	172.491	-5.220
172.959	-6.036	172.959	-5.259
173.600	-6.083	173.600	-5.316
174.084	-6.116	174.084	-5.359
174.568	-6.150	174.568	-5.401
175.053	-6.187	175.053	-5.444
175.521	-6.223	175.521	-5.486
176.005	-6.256	176.005	-5.527
176.646	-6.299	176.646	-5.579
177.130	-6.334	177.130	-5.624
177.599	-6.371	177.599	-5.665
178.083	-6.410	178.083	-5.711
178.567	-6.438	178.567	-5.750
179.208	-6.486	179.208	-5.804
179.692	-6.524	179.692	-5.843
180.161	-6.560	180.161	-5.884
180.645	-6.595	180.645	-5.923
181.129	-6.627	181.129	-5.959
181.598	-6.655	181.598	-5.997
182.238	-6.690	182.238	-6.049
182.723	-6.724	182.723	-6.091
183.207	-6.764	183.207	-6.135
183.691	-6.798	183.691	-6.176
184.160	-6.834	184.160	-6.219
184.644	-6.863	184.644	-6.255
185.285	-6.899	185.285	-6.307
185.769	-6.927	185.769	-6.353
186.253	-6.959	186.253	-6.395
186.722	-6.989	186.722	-6.438
187.206	-7.016	187.206	-6.482
187.690	-7.046	187.690	-6.535
188.331	-7.067	188.331	-6.593
188.799	-7.095	188.799	-6.644
189.284	-7.122	189.284	-6.692
189.768	-7.152	189.768	-6.742
190.252	-7.174	190.252	-6.789
190.893	-7.213	190.893	-6.852
191.361	-7.248	191.361	-6.897
191.845	-7.286	191.845	-6.938
192.330	-7.324	192.330	-6.980
192.798	-7.371	192.798	-7.032
