KRAS_1uMGDP_G12D_GDP_D_4002 - 1_X	KRAS_1uMGDP_G12D_GDP_D_4002 - 1_Y	Fit on KRAS_1uMGDP_G12D_GDP_D_40_X	Fit on KRAS_1uMGDP_G12D_GDP_D_40_Y
-63.3599	2.23368	3930.89	32.8696
-62.876	2.1375	3939.46	32.8306
-62.2358	2.005	3948.04	32.7919
-61.751	1.92028	3956.62	32.7533
-61.2832	1.83526	3965.2	34.6844
-60.7979	1.75927	3973.78	38.1037
-60.314	1.68181	3982.35	39.6835
-59.6738	1.58076	3990.93	40.1538
-59.2051	1.49654	3999.51	40.2627
-58.7212	1.41358	4008.09	40.2862
-58.2358	1.32974	4016.67	40.291
-57.752	1.23938	4025.24	40.292
-57.2842	1.14629	4033.82	40.2922
-56.6431	1.02397	4042.4	40.2922
-56.1592	0.936697	4050.98	40.2922
-55.6748	0.85091	4059.56	40.2922
-55.2061	0.77877	4068.13	40.2922
-54.7222	0.716267	4076.71	40.2922
-54.2368	0.66117	4085.29	39.2684
-53.5972	0.593204	4093.87	39.1689
-53.1133	0.542111	4102.45	39.0713
-52.644	0.499015	4111.02	38.9757
-52.1602	0.455397	4119.6	38.8817
-51.6763	0.415234	4128.18	38.7895
-51.0352	0.380917	4136.76	38.6989
-50.5513	0.357361	4145.34	38.6098
-50.082	0.336017	4153.91	38.5222
-49.5981	0.320606	4162.49	38.4359
-49.1143	0.303892	4171.07	38.3511
-48.4731	0.277442	4179.65	38.2675
-48.0049	0.258251	4188.23	38.1851
-47.52	0.249745	4196.8	38.1039
-47.0361	0.243461	4205.38	38.0239
-46.5522	0.242599	4213.96	37.9449
-45.9111	0.246424	4222.54	37.8671
-45.4429	0.247189	4231.12	37.7902
-44.958	0.240011	4239.69	37.7143
-44.4741	0.238311	4248.27	37.6394
-44.0049	0.241753	4256.85	37.5654
-43.3652	0.257268	4265.43	37.4923
-42.8809	0.258651	4274.01	37.42
-42.396	0.265103	4282.58	37.3486
-41.9121	0.262999	4291.16	37.278
-41.4438	0.26699	4299.74	37.2082
-40.8032	0.282288	4308.32	37.1392
-40.3188	0.30062	4316.9	37.0709
-39.835	0.30695	4325.47	37.0033
-39.3501	0.311377	4334.05	36.9364
-38.7251	0.32628	4342.63	36.8702
-38.2412	0.335513	4351.21	36.8047
-37.7568	0.342656	4359.79	36.7398
-37.2729	0.345205	4368.36	36.6756
-36.8042	0.340381	4376.94	36.6119
-36.3198	0.340272	4385.52	36.5489
-35.835	0.34033	4394.1	36.4864
-35.1948	0.345167	4402.68	36.4245
-34.7109	0.347317	4411.25	36.3632
-34.2422	0.347418	4419.83	36.3024
-33.7578	0.341959	4428.41	36.2422
-33.2739	0.349026	4436.99	36.1825
-32.6328	0.357858	4445.57	36.1232
-32.1641	0.3645	4454.15	36.0645
-31.6802	0.370108	4462.72	36.0063
-31.1958	0.378334	4471.3	35.9485
-30.7119	0.382275	4479.88	35.8912
-30.0708	0.385688	4488.46	35.8344
-29.603	0.392712	4497.04	35.778
-29.1182	0.400703	4505.61	35.722
-28.6343	0.407726	4514.19	35.6665
-28.165	0.416107	4522.77	35.6114
-27.5249	0.423107	4531.35	35.5567
-27.041	0.431306	4539.93	35.5024
-26.5562	0.435699	4548.5	35.4485
-26.0723	0.441858	4557.08	35.395
-25.603	0.44253	4565.66	35.3419
-24.9629	0.447016	4574.24	35.2892
-24.479	0.443899	4582.82	35.2368
-23.9941	0.440569	4591.39	35.1848
-23.5103	0.433004	4599.97	35.1331
-22.8701	0.429844	4608.55	35.0818
-22.4009	0.424787	4617.13	35.0309
-21.917	0.419886	4625.71	34.9802
-21.4331	0.415959	4634.28	34.9299
-20.9639	0.418322	4642.86	34.88
-20.3232	0.421926	4651.44	34.8303
-19.8389	0.421482	4660.02	34.781
-19.355	0.430829	4668.6	34.732
-18.8711	0.439851	4677.17	34.6833
-18.4019	0.452917	4685.75	34.6349
-17.7622	0.46219	4694.33	34.5867
-17.2769	0.47163	4702.91	34.5389
-16.793	0.47436	4711.49	34.4914
-16.3242	0.469208	4720.06	34.4441
-15.8398	0.469458	4728.64	34.3972
-15.356	0.471699	4737.22	34.3505
-14.7148	0.476853	4745.8	34.304
-14.231	0.476085	4754.38	34.2579
-13.7632	0.478381	4762.95	34.212
-13.2778	0.480893	4771.53	34.1663
-12.7939	0.483547	4780.11	34.1209
-12.1538	0.485342	4788.69	34.0758
-11.6851	0.484108	4797.27	34.0309
-11.2012	0.484027	4805.84	33.9863
-10.7158	0.534344	4814.42	33.9419
-10.2319	0.654716		
-9.76318	0.771325		
-9.12305	0.91588		
-8.63916	0.989503		
-8.15381	1.027		
-7.66992	1.04437		
-7.20215	1.04984		
-6.71729	1.03482		
-6.07715	0.987646		
-5.59326	0.94373		
-5.12402	0.899841		
-4.64014	0.859835		
-4.15527	0.81768		
-3.51514	0.768019		
-3.03125	0.73105		
-2.56201	0.679783		
-2.07813	0.502969		
-1.59326	0.280211		
-0.953125	0.186439		
-0.483887	0.0338736		
0	-4.65064		
0.483887	-3.53652		
0.967773	-1.27438		
1.60889	-0.164659		
2.07813	0.291375		
2.56201	0.314256		
3.0459	0.200376		
3.52979	0.262086		
3.99902	0.313623		
4.63916	0.383652		
5.12402	0.434543		
5.60791	0.471981		
6.07715	0.509654		
6.56104	0.553576		
7.04492	0.596333		
7.68604	0.645718		
8.16992	0.681515		
8.63818	0.70494		
9.12305	0.722712		
9.60693	0.740121		
10.0762	0.759764		
10.7158	0.767699		
11.2002	0.774419		
11.6851	0.775814		
12.1689	0.776583		
12.6382	0.781008		
13.2778	0.786864		
13.7617	0.790694		
14.2471	0.796048		
14.731	0.805292		
15.1987	0.815379		
15.6841	0.823107		
16.3237	0.836106		
16.8081	0.850739		
17.2769	0.861344		
17.7607	0.873108		
18.2461	0.888084		
18.8857	0.902491		
19.3701	0.914192		
19.8389	0.923685		
20.3228	0.924879		
20.8081	0.928112		
21.4478	0.929967		
21.917	0.927283		
22.4009	0.921408		
22.8848	0.91582		
23.3691	0.911597		
24.0098	0.920021		
24.479	0.924855		
24.9629	0.933609		
25.4468	0.940029		
