subtracted_X	subtracted_Y	specific_X	specific_Y	blank_X	blank_Y
2095.57	10.687	1462.59	5.844	1462.59	-3.368
2096.05	10.656	1463.08	5.841	1463.08	-3.36
2096.54	10.609	1463.56	5.847	1463.56	-3.344
2097.18	10.524	1464.2	5.858	1464.2	-3.325
2097.65	10.443	1464.67	5.866	1464.67	-3.308
2098.13	10.349	1465.16	5.876	1465.16	-3.293
2098.62	10.255	1465.64	5.886	1465.64	-3.273
2099.08	10.156	1466.12	5.885	1466.12	-3.264
2099.73	10.037	1466.75	5.894	1466.75	-3.251
2100.21	9.964	1467.23	5.896	1467.23	-3.243
2100.69	9.894	1467.72	5.905	1467.72	-3.23
2101.18	9.828	1468.2	5.913	1468.2	-3.217
2101.65	9.782	1468.84	5.922	1468.84	-3.198
2102.29	9.747	1469.31	5.927	1469.31	-3.185
2102.77	9.691	1469.8	5.928	1469.8	-3.164
2103.25	9.688	1470.28	5.935	1470.28	-3.148
2103.74	9.72	1470.76	5.935	1470.76	-3.133
2104.21	9.785	1471.4	5.926	1471.4	-3.112
2104.85	9.912	1471.87	5.921	1471.87	-3.099
2105.33	10.001	1472.36	5.912	1472.36	-3.086
2105.82	10.037	1472.84	5.898	1472.84	-3.072
2106.29	10.12	1473.31	5.885	1473.31	-3.055
2106.77	11.024	1473.79	5.882	1473.79	-3.044
2107.25	11.74	1474.43	5.878	1474.43	-3.038
2107.9	11.419	1474.92	5.878	1474.92	-3.041
2108.38	10.888	1475.4	5.884	1475.4	-3.052
2108.85	10.555	1475.87	5.896	1475.87	-3.06
2109.33	9.921	1476.36	5.917	1476.36	-3.061
2109.82	9.633	1477	5.941	1477	-3.051
2110.46	9.06	1477.48	5.953	1477.48	-3.043
2110.93	8.399	1477.95	5.964	1477.95	-3.035
2111.41	8.245	1478.43	5.974	1478.43	-3.019
2111.89	7.787	1478.92	5.967	1478.92	-3.012
2112.53	7.317	1479.4	5.96	1479.4	-3
2113.02	7.126	1480.04	5.947	1480.04	-2.988
2113.49	6.869	1480.51	5.934	1480.51	-2.98
2113.97	6.617	1480.99	5.928	1480.99	-2.969
2114.46	6.223	1481.48	5.926	1481.48	-2.954
2114.92	5.989	1481.96	5.923	1481.96	-2.943
2115.56	5.907	1482.6	5.934	1482.6	-2.932
2116.05	5.628	1483.07	5.948	1483.07	-2.92
2116.53	5.589	1483.56	5.953	1483.56	-2.91
2117.02	5.407	1484.04	5.948	1484.04	-2.901
2117.49	5.378	1484.51	5.959	1484.51	-2.894
2117.97	5.279	1485.15	5.973	1485.15	-2.883
2118.61	5.101	1485.64	5.983	1485.64	-2.867
2119.09	5.017	1486.12	5.995	1486.12	-2.851
2119.58	5.041	1486.6	6.005	1486.6	-2.841
2120.05	5.146	1487.07	6.014	1487.07	-2.831
2120.53	4.832	1487.56	6.015	1487.56	-2.82
2121.17	5.023	1488.2	6.013	1488.2	-2.806
2121.66	6.163	1488.68	6.003	1488.68	-2.801
2122.13	6.64301	1489.15	6.001	1489.15	-2.784
2122.61	7.002	1489.63	5.99	1489.63	-2.768
2123.09	7.289	1490.12	5.981	1490.12	-2.759
2123.58	7.382	1490.6	5.982	1490.6	-2.74
2124.22	7.56499	1491.24	5.978	1491.24	-2.716
2124.69	7.738	1491.71	5.974	1491.71	-2.701
2125.17	7.896	1492.2	5.984	1492.2	-2.682
2125.66	8.03	1492.68	5.991	1492.68	-2.665
2126.13	8.139	1493.16	5.992	1493.16	-2.653
2126.76	8.26	1493.81	5.996	1493.81	-2.643
2127.25	8.328	1494.27	6	1494.27	-2.644
2127.73	8.395	1494.76	6.006	1494.76	-2.65
2128.22	8.44601	1495.24	6.022	1495.24	-2.647
2128.69	8.484	1495.88	6.03	1495.88	-2.65
2129.33	8.519	1496.35	6.033	1496.35	-2.653
2129.81	8.518	1496.83	6.028	1496.83	-2.653
2130.3	8.513	1497.32	6.02	1497.32	-2.655
2130.78	8.505	1497.8	6.021	1497.8	-2.646
2131.25	8.488	1498.44	6.01	1498.44	-2.637
2131.73	8.471	1498.91	5.996	1498.91	-2.628
2132.22	8.455	1499.4	5.985	1499.4	-2.621
2132.86	8.416	1499.88	5.973	1499.88	-2.612
2133.33	8.384	1500.35	5.959	1500.35	-2.605
2133.81	8.365	1500.83	5.945	1500.83	-2.588
